,EN,FR
3593,I felt great.,Je me suis très bien senti.
3594,I felt great.,Je me suis très bien sentie.
3595,I felt happy.,Je me suis senti heureux.
3596,I felt happy.,Je me suis sentie heureuse.
3597,I felt naked.,Je me sentis nu.
3598,I felt naked.,Je me suis senti nu.
3599,I felt naked.,Je me sentis nue.
3600,I felt naked.,Je me suis senti nue.
3601,I felt safer.,Je me sentais davantage en sécurité.
3602,I go jogging.,Je vais courir.
3603,I go to work.,Je pars au boulot.
3604,I go to work.,Je vais travailler.
3605,I go to work.,Je me rends au travail.
3606,I go to work.,Je vais au travail.
3607,I got carded.,On m'a demandé ma carte d'identité pour vérifier mon âge.
3608,I got caught.,Je me suis fait prendre.
3609,I got caught.,On m'a attrapé.
3610,I got caught.,On m'a attrapée.
3611,I got dumped.,On m'a largué.
3612,I got dumped.,On m'a larguée.
3613,I got dumped.,J'ai été largué.
3614,I got dumped.,J'ai été larguée.
3615,I got sleepy.,J'ai commencé à avoir sommeil.
3616,I got soaked.,Je me suis fait tremper.
3617,I got the ax.,J'ai la hache.
3618,I had doubts.,J'avais des doutes.
3619,I handled it.,Je m'en suis occupé.
3620,I handled it.,J'ai su y faire.
3621,I handled it.,Je m'en suis sorti.
3622,I handled it.,Je m'en suis sortie.
3623,I handled it.,J'ai géré.
3624,I hate beans.,Je déteste les haricots.
3625,I hate flies.,Je déteste les mouches.
3626,I hate liars.,Je déteste les menteurs.
3627,I have a car.,J'ai une voiture.
3628,I have a car.,Je dispose d'une voiture.
3629,I have a cat.,J'ai un chat.
3630,I have a cat.,J'ai une chatte.
3631,I have a dog.,J'ai un chien.
3632,I have a gun.,Je dispose d'une arme.
3633,I have a gun.,J'ai une arme à feu.
3634,I have a job.,Je dispose d'un boulot.
3635,I have a key.,Je dispose d'une clé.
3636,I have a kid.,J'ai un enfant.
3637,I have a pen.,J’ai un stylo.
3638,I have hives.,J'ai de l'urticaire.
3639,I have money.,J'ai de l'argent.
3640,I have needs.,J'ai des besoins.
3641,I have plans.,J'ai des plans.
3642,I have proof.,J'ai une preuve.
3643,I have proof.,Je dispose d'une preuve.
3644,I have to go.,Je dois y aller.
3645,I have to go.,Il me faut y aller.
3646,I have to go.,Il me faut partir.
3647,I have to go.,Il me faut m'en aller.
3648,I have to go.,Je dois partir.
3649,I have to go.,Je dois m'en aller.
3650,I hear music.,J'entends de la musique.
3651,I heard that.,J'ai entendu ça.
3652,I helped Tom.,J'ai aidé Tom.
3653,I helped out.,J'ai donné un coup de main.
3654,I honor that.,J'honore cela.
3655,I hugged her.,Je l'étreignis.
3656,I improvised.,J'ai improvisé.
3657,I just moved.,Je viens juste de déménager.
3658,I just moved.,Je viens juste de bouger.
3659,I just moved.,Je viens d'être muté.
3660,I keep a dog.,J'élève un chien.
3661,I kissed Tom.,J'ai embrassé Tom.
3662,I know a way.,Je connais un moyen.
3663,I like R & B.,J'aime le R&B.
3664,I like bread.,J'aime le pain.
3665,I like chess.,J'apprécie les échecs.
3666,I like fruit.,J'aime les fruits.
3667,I like girls.,J'aime les filles.
3668,I like honey.,J'aime le miel.
3669,I like music.,J'aime la musique.
3670,I like opera.,J'apprécie l'opéra.
3671,I like sugar.,J'aime le sucre.
3672,I like sushi.,J'aime les sushis.
3673,I like these.,J'aime ceux-ci.
3674,I like these.,J'aime celles-ci.
3675,I like women.,J'apprécie les femmes.
3676,I like women.,J'aime les femmes.
3677,I liked that.,J'ai aimé ça.
3678,I lost a bet.,J'ai perdu un pari.
3679,I love books.,J'adore les livres.
3680,I love bread.,J'adore le pain.
3681,I love games.,J'adore les jeux.
3682,I love jokes.,J'adore les blagues.
3683,I love jokes.,J'adore les plaisanteries.
3684,I love music.,J'adore la musique.
3685,I love music.,J'aime beaucoup la musique.
3686,I love trips.,J'aime les voyages.
3687,I loved that.,J'adorais ça.
3688,I loved that.,J'ai adoré ça.
3689,I made a bet.,J'ai effectué un pari.
3690,I made it up.,Je l’ai inventé.
3691,I made plans.,J'ai élaboré des plans.
3692,I made plans.,J'ai fait des projets.
3693,I made these.,J'ai fait ceux-ci.
3694,I made these.,J'ai fait celles-ci.
3695,I made these.,J'ai confectionné ceux-ci.
3696,I might stay.,Il se pourrait que je reste.
3697,I missed you.,Tu m'as manqué.
3698,I must hurry.,Je dois me grouiller.
3699,I must hurry.,Je dois me dépêcher.
3700,I must hurry.,Je dois me hâter.
3701,I must leave.,Il me faut partir.
3702,I must leave.,Je dois partir.
3703,I must study.,Je dois étudier.
3704,I need a bag.,Il me faut un sac.
3705,I need a cab.,J'ai besoin d'un taxi.
3706,I need a car.,J'ai besoin d'une voiture.
3707,I need a hat.,Il me faut un chapeau.
3708,I need a hug.,J'ai besoin d'un câlin.
3709,I need a job.,Il me faut un travail.
3710,I need a job.,J'ai besoin d'un emploi.
3711,I need a job.,J'ai besoin d'un boulot.
3712,I need a map.,Il me faut une carte.
3713,I need a pen.,J'ai besoin d'un stylo.
3714,I need money.,J'ai besoin d'argent.
3715,I need paint.,J'ai besoin de peinture.
3716,I need paint.,Il me faut de la peinture.
3717,I need proof.,J'ai besoin de preuves.
3718,I need proof.,Il me faut des preuves.
3719,I need sleep.,J'ai besoin de sommeil.
3720,I need space.,J'ai besoin d'espace.
3721,I need sugar.,J'ai besoin de sucre.
3722,I need to go.,Je dois y aller.
3723,I need to go.,Je dois partir.
3724,I need to go.,Je dois m'en aller.
3725,I need water.,Il me faut de l'eau.
3726,I need water.,J'ai besoin d'eau.
3727,I never lose.,Je ne perds jamais.
3728,I often read.,Je lis souvent.
3729,I phoned him.,Je lui ai téléphoné.
3730,I play piano.,Je joue du piano.
3731,I read books.,Je lis des livres.
3732,I rewrote it.,Je l'ai réécrit.
3733,I rewrote it.,Je le réécrivis.
3734,I said maybe.,J'ai dit peut-être.
3735,I see a book.,Je vois un livre.
3736,I see a lion.,Je vois un lion.
3737,I see a rose.,Je vois une rose.
3738,I see a star.,Je vois une étoile.
3739,I sell shoes.,Je vends des chaussures.
3740,I smelled it.,Je l'ai senti.
3741,I smelled it.,Je l'ai sentie.
3742,I started it.,Je l'ai démarré.
3743,I started it.,Je l'ai démarrée.
3744,I started it.,Je l'ai initié.
3745,I started it.,Je l'ai initiée.
3746,I still care.,Je m'en soucie encore.
3747,I suppose so.,Je le suppose.
3748,I swim a lot.,Je nage beaucoup.
3749,I sympathize.,Je compatis.
3750,I teach here.,J'enseigne ici.
3751,I thought so.,Je m'en suis douté.
3752,I took a nap.,Je fis une sieste.
3753,I took risks.,J'ai pris des risques.
3754,I tried hard.,J'ai essayé de toutes mes forces.
3755,I tried that.,J'ai essayé ça.
3756,I understand.,Je comprends.
3757,I understood.,J'ai compris.
3758,I want a job.,Je veux un boulot.
3759,I want a lot.,J'en veux plein.
3760,I want a lot.,J'en veux beaucoup.
3761,I want facts.,Il me faut des faits.
3762,I want proof.,Je veux une preuve.
3763,I want these.,Je veux ceux-là.
3764,I want these.,Je veux celles-là.
3765,I want to go.,Je veux partir.
3766,I want to go.,Je veux m'en aller.
3767,I want to go.,Je veux y aller.
3768,I was asleep.,J'étais endormi.
3769,I was asleep.,J'étais endormie.
3770,I was beaten.,J'ai été frappé.
3771,I was beaten.,J'ai été frappée.
3772,I was burned.,J'ai été brûlé.
3773,I was burned.,J'ai été brûlée.
3774,I was canned.,On m'a saqué.
3775,I was framed.,On m'a tendu un piège.
3776,I was lonely.,J'étais esseulé.
3777,I was lonely.,J'étais esseulée.
3778,I was shaken.,J'ai été remué.
3779,I was shaken.,J'ai été remuée.
3780,I was shaken.,J'ai été secoué.
3781,I was shaken.,J'ai été secouée.
3782,I was sleepy.,J'avais envie de dormir.
3783,I was stupid.,J'étais stupide.
3784,I was warned.,J'ai été prévenu.
3785,I was warned.,J'ai été prévenue.
3786,I was warned.,On m'a prévenu.
3787,I was warned.,On m'a prévenue.
3788,I weighed it.,Je l'ai pesé.
3789,I went twice.,J'y suis allé deux fois.
3790,I went twice.,Je m'y suis rendu à deux reprises.
3791,I went twice.,Je m'y suis rendue à deux reprises.
3792,I went twice.,J'y suis allée deux fois.
3793,I will fight.,Je me battrai.
3794,I will learn.,J'apprendrai.
3795,I will shoot.,Je tirerai.
3796,I won't come.,Je ne viendrai pas.
3797,I wonder who.,Je me demande qui.
3798,I wonder why.,Je me demande pourquoi.
3799,I work alone.,Je travaille seul.
3800,I work alone.,Je travaille seule.
3801,I wrote that.,C'est moi qui ai écrit ça.
3802,I wrote that.,J'ai écrit ça.
3803,I'd buy that.,Je l'achèterais.
3804,I'd buy that.,Je le goberais.
3805,I'll ask him.,Je lui demanderai.
3806,I'll be back.,Je reviens.
3807,I'll be back.,Je reviendrai.
3808,I'll be fine.,Ça va aller.
3809,I'll be free.,Je serai libre.
3810,I'll be late.,Je serai en retard.
3811,I'll be nice.,Je serai gentil.
3812,I'll be nice.,Je serai gentille.
3813,I'll explain.,J'expliquerai.
3814,I'll get ice.,J'irai chercher de la glace.
3815,I'll get you.,J'irai te chercher.
3816,I'll get you.,J'irai vous chercher.
3817,I'll get you.,J'irai te prendre.
3818,I'll get you.,J'irai vous prendre.
3819,I'll go back.,Je reviendrai.
3820,I'll go home.,J'irai chez moi.
3821,I'll go look.,J'irai voir.
3822,I'll go next.,J'irai ensuite.
3823,I'll grab it.,Je mettrai la main dessus.
3824,I'll grab it.,Je le saisirai.
3825,I'll grab it.,Je l'attraperai.
3826,I'll jump in.,Je m'y joindrai.
3827,I'll just go.,Je vais juste y aller.
3828,I'll kill it.,Je le tuerai.
3829,I'll open it.,Je l'ouvrirai.
3830,I'll pay you.,Je te paierai.
3831,I'll pay you.,Je vous paierai.
3832,I'll read it.,Je le lirai.
3833,I'll risk it.,Je tenterai le coup.
3834,I'll sign it.,Je le signerai.
3835,I'll sue you.,Je te poursuivrai en justice.
3836,I'll sue you.,Je te ferai un procès.
3837,I'll sue you.,Je vous poursuivrai en justice.
3838,I'll sue you.,Je vous ferai un procès.
3839,I'll take it.,Je le prends.
3840,I'm 99% sure.,J'en suis sûr à 99%.
3841,I'm 99% sure.,J'en suis sûre à 99%.
3842,I'm Canadian.,Je suis Canadienne.
3843,I'm Canadian.,Je suis Canadien.
3844,I'm a coward.,Je suis un couard.
3845,I'm a coward.,Je suis un lâche.
3846,I'm a dancer.,Je suis danseur.
3847,I'm a dancer.,Je suis danseuse.
3848,I'm a doctor.,Je suis médecin.
3849,I'm a doctor.,Je suis toubib.
3850,I'm a farmer.,Je suis fermier.
3851,I'm a farmer.,Je suis agriculteur.
3852,I'm a farmer.,Je travaille dans ma ferme.
3853,I'm a farmer.,Je suis un agriculteur.
3854,I'm a father.,Je suis papa.
3855,I'm a friend.,Je suis un ami.
3856,I'm a friend.,Je suis une amie.
3857,I'm a genius.,Je suis un génie.
3858,I'm a lawyer.,Je suis avocat.
3859,I'm a lawyer.,Je suis avocate.
3860,I'm a member.,Je suis membre.
3861,I'm a priest.,Je suis prêtre.
3862,I'm a purist.,Je suis un puriste.
3863,I'm a singer.,Je suis chanteur.
3864,I'm a singer.,Je suis chanteuse.
3865,I'm a surfer.,Je suis surfeur.
3866,I'm a surfer.,Je suis surfeuse.
3867,I'm addicted.,Je suis drogué.
3868,I'm addicted.,Je suis accro.
3869,I'm addicted.,J'ai une assuétude.
3870,I'm all done.,J'ai tout fini.
3871,I'm all done.,J'ai tout terminé.
3872,I'm all ears.,Je suis tout ouïe.
3873,I'm an adult.,Je suis adulte.
3874,I'm an agent.,Je suis un agent.
3875,I'm bleeding.,Je suis en train de saigner.
3876,I'm bluffing.,J’y vais au flan.
3877,I'm confused.,Je me mélange les pinceaux.
3878,I'm creative.,Je suis créatif.
3879,I'm creative.,Je suis créative.
3880,I'm cultured.,Je suis cultivé.
3881,I'm cultured.,Je suis cultivée.
3882,I'm divorced.,Je suis divorcé.
3883,I'm divorced.,Je suis divorcée.
3884,I'm drowning.,Je suis en train de me noyer.
3885,I'm eighteen.,J'ai dix-huit ans.
3886,I'm faithful.,Je suis fidèle.
3887,I'm famished.,Je suis affamé !
3888,I'm fearless.,Je suis intrépide.
3889,I'm fighting.,Je me bats.
3890,I'm finished.,J'ai terminé.
3891,I'm finished.,J'en ai terminé.
3892,I'm free now.,Je suis libre maintenant.
3893,I'm freezing.,Je suis gelé.
3894,I'm grateful.,Je suis reconnaissant.
3895,I'm grateful.,Je suis reconnaissante.
3896,I'm grounded.,Je suis cloué.
3897,I'm grounded.,Je suis clouée.
3898,I'm gullible.,Je suis crédule.
3899,I'm homesick.,J'ai le mal du pays.
3900,I'm hungover.,J'ai la gueule de bois.
3901,I'm innocent.,Je suis innocent.
3902,I'm innocent.,Je suis innocente.
3903,I'm innocent.,Je suis ingénu.
3904,I'm innocent.,Je suis ingénue.
3905,I'm involved.,Je suis impliqué.
3906,I'm involved.,Je suis impliquée.
3907,I'm managing.,Je m'en sors.
3908,I'm mistaken.,Je me trompe.
3909,I'm mistaken.,Je fais erreur.
3910,I'm new here.,"Je suis nouveau, ici."
3911,I'm no rebel.,Je ne suis pas un rebelle.
3912,I'm no saint.,Je ne suis pas un saint.
3913,I'm no saint.,Je ne suis pas une sainte.
3914,I'm not busy.,Je ne suis pas occupé.
3915,I'm not deaf.,Je ne suis pas sourd.
3916,I'm not deaf.,Je ne suis pas sourde.
3917,I'm not done.,Je n'ai pas fini.
3918,I'm not done.,Je n'ai pas terminé.
3919,I'm not done.,Je n'en ai pas terminé.
3920,I'm not dumb.,Je ne suis pas abruti.
3921,I'm not dumb.,Je ne suis pas abrutie.
3922,I'm not evil.,Je ne suis pas mauvais.
3923,I'm not here.,Je ne suis pas ici.
3924,I'm not here.,Je ne suis pas là.
3925,I'm not home.,Je ne suis pas chez moi.
3926,I'm not home.,Je ne suis pas à la maison.
3927,I'm not hurt.,Je ne suis pas blessé.
3928,I'm not hurt.,Je ne suis pas blessée.
3929,I'm not mean.,Je ne suis pas méchant.
3930,I'm not mean.,Je ne suis pas méchante.
3931,I'm not rich.,Je ne suis pas riche.
3932,I'm not sure.,Je n'en suis pas certain.
3933,I'm not sure.,Je n'en suis pas certaine.
3934,I'm not tall.,Je ne suis pas grand.
3935,I'm not tall.,Je ne suis pas grande.
3936,I'm not ugly.,Je ne suis pas laid.
3937,I'm not ugly.,Je ne suis pas laide.
3938,I'm not well.,Je ne vais pas bien.
3939,I'm obedient.,Je suis obéissant.
3940,I'm off duty.,Je ne suis pas en service.
3941,I'm off-duty.,Je ne suis pas en service.
3942,I'm offended.,Je suis offensé.
3943,I'm offended.,Je suis offensée.
3944,I'm outraged.,Je suis indigné.
3945,I'm outraged.,Je suis indignée.
3946,I'm positive.,J'en suis certain.
3947,I'm positive.,J'en suis sûr.
3948,I'm positive.,J'en suis sûre.
3949,I'm powerful.,Je suis puissant.
3950,I'm powerful.,Je suis puissante.
3951,I'm pregnant.,Je suis enceinte.
3952,I'm prepared.,Je suis prêt.
3953,I'm prepared.,Je suis préparée.
3954,I'm prepared.,Je suis préparé.
3955,I'm punctual.,Je suis ponctuel.
3956,I'm punctual.,Je suis ponctuelle.
3957,I'm rational.,Je suis rationnel.
3958,I'm rational.,Je suis rationnelle.
3959,I'm reformed.,Je me suis amendé.
3960,I'm reformed.,Je me suis amendée.
3961,I'm reliable.,Je suis fiable.
3962,I'm restless.,Je ne tiens pas en place.
3963,I'm ruthless.,Je suis impitoyable.
3964,I'm shooting.,Je tire.
3965,I'm shopping.,Je fais les courses.
3966,I'm sleeping.,Je suis en train de dormir.
3967,I'm so happy.,Je suis si heureux.
3968,I'm so sorry.,Je suis tellement désolé !
3969,I'm so sorry.,Je suis tellement désolée !
3970,I'm so tired!,Je suis si fatigué !
3971,I'm so tired!,Je suis tellement las !
3972,I'm so tired.,Je suis si fatigué.
3973,I'm so tired.,Je suis si fatiguée.
3974,I'm so tired.,Je suis tellement fatigué.
3975,I'm so tired.,Je suis tellement fatiguée.
3976,I'm speaking.,Je suis en train de parler.
3977,I'm starving.,Je crève de faim !
3978,I'm starving.,J'ai la fringale.
3979,I'm stubborn.,Je suis têtu.
3980,I'm stubborn.,Je suis têtue.
3981,I'm stubborn.,Je suis obstiné.
3982,I'm stubborn.,Je suis obstinée.
3983,I'm the best.,Je suis le meilleur.
3984,I'm the best.,Je suis la meilleure.
3985,I'm the boss.,C'est moi le patron.
3986,I'm the boss.,C'est moi la patronne.
3987,I'm the boss.,Je suis le patron.
3988,I'm the boss.,Je suis la patronne.
3989,I'm thinking.,Je réfléchis.
3990,I'm thorough.,Je suis minutieux.
3991,I'm thorough.,Je suis minutieuse.
3992,I'm thorough.,Je suis consciencieux.
3993,I'm thorough.,Je suis consciencieuse.
3994,I'm thrilled.,Je suis ravi.
3995,I'm thrilled.,Je suis ravie.
3996,I'm ticklish.,Je suis chatouilleux.
3997,I'm ticklish.,Je suis chatouilleuse.
3998,I'm too busy.,Je suis trop occupé.
3999,I'm too busy.,Je suis trop occupée.
4000,I'm too busy.,Je suis trop affairé.
4001,I'm too busy.,Je suis trop affairée.
4002,I'm truthful.,Je dis la vérité.
4003,I'm unbiased.,Je suis impartial.
4004,I'm unbiased.,Je suis impartiale.
4005,I'm upstairs.,Je suis au-dessus.
4006,I'm very fat.,Je suis très gros.
4007,I'm very fat.,Je suis très gras.
4008,I'm very sad.,Je suis très triste.
4009,I'm very shy.,Je suis très timide.
4010,I'm worn out.,Je suis épuisé.
4011,I've checked.,J'ai vérifié.
4012,I've decided.,J'ai décidé.
4013,I've done it.,Je l'ai fait.
4014,I've got you.,Je t'ai eu.
4015,I've got you.,Je t'ai eue.
4016,I've got you.,Je vous ai eu.
4017,I've got you.,Je vous ai eue.
4018,I've got you.,Je vous ai eus.
4019,I've got you.,Je vous ai eues.
4020,I've lost it.,Je l’ai perdu.
4021,I've no idea.,Je n'ai aucune idée.
4022,I've no idea.,Je n'en ai aucune idée.
4023,I've retired.,J'ai pris ma retraite.
4024,I've seen it.,Je l'ai vu.
4025,Iron is hard.,Le fer est dur.
4026,Is Tom alive?,Est-ce que Tom est vivant ?
4027,Is Tom drunk?,Tom est-il saoul ?
4028,Is Tom drunk?,Tom est-il ivre ?
4029,Is Tom right?,Est-ce que Tom a raison ?
4030,Is Tom there?,Est-ce que Tom est ici ?
4031,Is Tom there?,Est-ce que Tom est là ?
4032,Is it a deal?,Est-ce une bonne affaire ?
4033,Is it a deer?,Est-ce un cerf ?
4034,Is it a deer?,S'agit-il d'un cerf ?
4035,Is it a joke?,Est-ce une blague ?
4036,Is it a joke?,S'agit-il d'une blague ?
4037,Is it a trap?,Est-ce que c'est un piège ?
4038,Is it a wolf?,Est-ce un loup ?
4039,Is it a wolf?,Est-ce une louve ?
4040,Is it an elk?,Est-ce un élan ?
4041,Is it broken?,Est-ce cassé ?
4042,Is it broken?,Est-ce brisé ?
4043,Is it cancer?,S'agit-il d'un cancer ?
4044,Is it cloudy?,Est-ce nuageux ?
4045,Is it enough?,Est-ce assez ?
4046,Is it for me?,Est-ce que c'est pour moi ?
4047,Is it nearby?,Est-ce proche ?
4048,Is it nearby?,Est-ce dans les environs ?
4049,Is that a no?,Est-ce un non ?
4050,Is that love?,C'est ça l'amour ?
4051,Is that love?,Est-ce de l'amour ?
4052,Is that true?,C'est vrai ?
4053,Is this blue?,Est-ce bleu ?
4054,Is this fake?,Est-ce une imitation ?
4055,Is this fake?,Est-ce une simulation ?
4056,Is this fake?,Est-ce du chiqué ?
4057,Is this fake?,C'est du chiqué ?
4058,Is this fake?,Est-ce un pastiche ?
4059,Is this love?,C'est ça l'amour ?
4060,Is this love?,Est-ce de l'amour ?
4061,Is this love?,Est-ce de l'amour ?
4062,Is this love?,Est-ce l'amour ?
4063,Is this love?,Serait-ce de l'amour ?
4064,Is this true?,C'est vrai ?
4065,Is this wine?,S'agit-il de vin ?
4066,Is this wine?,Est-ce du vin ?
4067,It amazed me.,Ça m'a épaté.
4068,It felt good.,Ça faisait du bien.
4069,It has begun.,Ça a commencé.
4070,It is a book.,C'est un livre.
4071,It is a book.,Ceci est un livre.
4072,It is a song.,C'est une chanson.
4073,It is my cat.,C'est mon chat.
4074,It is unfair.,C'est injuste.
4075,It isn't new.,Ce n'est pas nouveau.
4076,It may break.,Il pourrait se casser.
4077,It may break.,Il pourrait se briser.
4078,It scared me.,Ça m'a fait peur.
4079,It took time.,Ça a pris du temps.
4080,It was a lie.,C'était un mensonge.
4081,It was black.,C'était noir.
4082,It was clean.,C'était propre.
4083,It was clean.,C'était net.
4084,It was clean.,Ce fut net.
4085,It was clean.,Ce fut propre.
4086,It was night.,Il faisait nuit.
4087,It was night.,C'était la nuit.
4088,It was noisy.,C'était bruyant.
4089,It was white.,C'était blanc.
4090,It wasn't me.,Ce n'était pas moi.
4091,It will burn.,Ça va brûler.
4092,It will heal.,Cela guérira.
4093,It'll be hot.,Il va faire chaud.
4094,It'll happen.,Ça arrivera.
4095,It'll happen.,Ça surviendra.
4096,It'll happen.,Ça aura lieu.
4097,It's a curse.,C'est une malédiction.
4098,It's a fruit.,Il s'agit d'un fruit.
4099,It's a plant.,Il s'agit d'une plante.
4100,It's a rumor.,Il s'agit d'une rumeur.
4101,It's a rumor.,C'est une rumeur.
4102,It's a shame.,C'est dommage.
4103,It's a waste.,C'est un gaspillage.
4104,It's a waste.,Il s'agit d'un gaspillage.
4105,It's all wet.,Tout est mouillé.
4106,It's awesome.,C'est génial.
4107,It's awesome.,C'est super.
4108,It's awesome.,C'est effarant.
4109,It's bedtime.,Il est temps de dormir.
4110,It's bedtime.,C'est l'heure de se coucher.
4111,It's complex.,C'est compliqué.
4112,It's complex.,C'est complexe.
4113,It's for you.,C'est pour toi.
4114,It's for you.,C'est pour vous.
4115,It's garbage.,Ce sont des conneries.
4116,It's garbage.,C'est de la daube.
4117,It's garbage.,Ce sont des détritus.
4118,It's genuine.,C'est la vérité.
4119,It's genuine.,C'est véritable.
4120,It's hideous.,C'est hideux.
4121,It's missing.,C'est manquant.
4122,It's missing.,Ça fait défaut.
4123,It's morning.,On est le matin.
4124,It's my book.,C'est mon livre.
4125,It's my turn.,C'est mon tour.
4126,It's no good.,Ce n'est pas bon.
4127,It's no joke.,Ce n'est pas une blague.
4128,It's not new.,Ce n'est pas nouveau.
4129,It's nothing.,Ce n'est rien.
4130,It's obvious.,C'est évident.
4131,It's obvious.,C'est patent.
4132,It's obvious.,Cela coule de source.
4133,It's obvious.,Ça saute aux yeux.
4134,It's on fire.,C'est en feu.
4135,It's on fire.,C'est déchaîné.
4136,It's our car.,C'est notre voiture.
4137,It's perfect.,C'est parfait.
4138,It's serious.,C'est sérieux.
4139,It's snowing.,Il neige.
4140,It's so easy.,C'est tellement facile.
4141,It's started.,C'est commencé.
4142,It's suicide.,C'est du suicide.
4143,It's the law.,C'est la loi.
4144,It's too big.,C'est trop grand.
4145,It's too big.,C'est trop gros.
4146,It's too hot.,Il fait trop chaud.
4147,Just say yes.,Dis juste oui !
4148,Just say yes.,Dites juste oui !
4149,Keep driving.,Avance !
4150,Keep driving.,Continue à rouler !
4151,Keep driving.,Continuez à rouler !
4152,Keep driving.,Roule !
4153,Keep driving.,Roulez !
4154,Keep it warm.,Garde-le au chaud.
4155,Keep looking.,Continue à regarder !
4156,Keep looking.,Continuez à regarder !
4157,Keep reading.,Continuez à lire !
4158,Keep reading.,Continue à lire !
4159,Keep running.,Continue à courir.
4160,Keep running.,Continuez à courir.
4161,Keep singing.,Continue de chanter.
4162,Keep singing.,Continuez de chanter.
4163,Keep talking.,Continue à parler.
4164,Keep talking.,Continuez de parler.
4165,Keep working.,Continue à travailler !
4166,Keep working.,Continuez à travailler !
4167,Keep writing.,Continue à écrire.
4168,Keep writing.,Continuez d'écrire.
4169,Ladies first.,Les femmes d'abord.
4170,Lead the way.,Montre le chemin.
4171,Lead the way.,Montrez le chemin.
4172,Let go of it.,Oublie ça.
4173,Let go of me.,Lâche-moi !
4174,Let go of me.,Lâchez-moi !
4175,Let me check.,Laisse-moi vérifier.
4176,Let me check.,Laissez-moi vérifier.
4177,Let me check.,Laisse-moi contrôler.
4178,Let me check.,Laissez-moi contrôler.
4179,Let me leave!,Laisse-moi partir !
4180,Let me sleep.,Laisse-moi dormir.
4181,Let me sleep.,Laissez-moi dormir.
4182,Let's all go.,Allons-y tous !
4183,Let's all go.,Allons-y toutes !
4184,Let's bounce.,Rebondissons !
4185,Let's go now.,Allons-y maintenant.
4186,Let's listen.,Écoutons !
4187,Let's not go.,N'y allons pas !
4188,Let's not go.,Ne partons pas !
4189,Let's try it.,Essayons-la.
4190,Let's try it.,Essayons-le.
4191,Life goes on.,La vie continue.
4192,Life is hard.,La vie est dure.
4193,Look at that!,Regarde ça !
4194,Look at that!,Regardez ça !
4195,Look at that!,Regardez cela !
4196,Look at this.,Regarde ça !
4197,Look at this.,Regardez ça !
4198,Look closely.,Regarde attentivement.
4199,Make a guess.,Devine !
4200,Make a guess.,Hasarde une hypothèse !
4201,Mary is cute.,Marie est mignonne.
4202,May I cut in?,Puis-je vous interrompre ?
4203,May I try it?,Est-ce que je peux l'essayer ?
4204,"Meat, please.","De la viande, s'il vous plaît."
4205,Men are pigs.,Les hommes sont des cochons.
4206,Men are pigs.,Les hommes sont des égoïstes.
4207,Must I go on?,Dois-je continuer ?
4208,My arm hurts.,J'ai une douleur dans mon bras.
4209,My eyes hurt.,J'ai mal aux yeux.
4210,My feet hurt.,Mes pieds me font mal.
4211,My hip hurts.,Ma hanche me fait mal.
4212,Need I go on?,Ai-je besoin de continuer ?
4213,No one cared.,Personne ne s'en souciait.
4214,No one cares.,Tout le monde s'en fout.
4215,No one cares.,Tout le monde s'en fiche.
4216,No one cares.,Personne ne s'en soucie.
4217,No one knows.,Personne ne sait.
4218,No one moved.,Personne ne bougea.
4219,No one moved.,Personne n'a bougé.
4220,No one spoke.,Personne ne parla.
4221,No one spoke.,Personne n'a parlé.
4222,Nobody asked.,Personne n'a demandé.
4223,Nobody knows.,Personne ne sait.
4224,Now drink up.,"Maintenant, bois d'un coup !"
4225,Now drink up.,"Maintenant, buvez d'un coup !"
4226,Now drink up.,"Finis ton verre, maintenant !"
4227,Now drink up.,"Vide ton verre, maintenant !"
4228,Now drink up.,"Videz votre verre, maintenant !"
4229,Now drink up.,"Finissez votre verre, maintenant !"
4230,Now fix that.,"Maintenant, répare ça."
4231,Now fix that.,"Maintenant, corrigez cela."
4232,Now leave us.,Maintenant laissez-nous.
4233,Now leave us.,Maintenant laisse-nous.
4234,Now leave us.,Vous pouvez disposer.
4235,OK. Go ahead.,"D'accord, allez-y."
4236,Our eyes met.,Nos yeux se sont croisés.
4237,Play it cool.,Joue-la pépère.
4238,Please hurry.,Dépêchez-vous s'il vous plaît.
4239,Please leave.,Veuillez vous en aller.
4240,Please leave.,"Pars, s'il te plaît."
4241,Please leave.,"Pars, je te prie."
4242,Please leave.,Je te prie de partir.
4243,Please leave.,Je vous prie de partir.
4244,Please relax.,"S'il te plaît, calme-toi."
4245,Please smile.,"Souris, s'il te plaît !"
4246,Please smile.,"Souris, je te prie !"
4247,Please smile.,"Souriez, s'il vous plaît !"
4248,Please smile.,"Souriez, je vous prie !"
4249,Please smile.,Veuillez sourire !
4250,Pray for Tom.,Priez pour Tom.
4251,Recess ended.,La récréation est terminée.
4252,See you soon!,À bientôt !
4253,See you soon!,À tout à l'heure !
4254,Set Tom free.,Libère Tom.
4255,Set Tom free.,Libérez Tom.
4256,Shame on you!,Honte à toi !
4257,Shame on you.,Honte à toi !
4258,She can swim.,Elle sait nager.
4259,She helps us.,Elle nous aide.
4260,She is a fox.,C'est un renard.
4261,She is lucky.,Elle est chanceuse.
4262,She is lucky.,Elle est chançarde.
4263,She is quiet.,Elle est tranquille.
4264,She is sharp.,Elle est tranchante.
4265,She is sharp.,Elle est affûtée.
